region_number,region_label,included_communities,population
74,Gardena--(Region:74),Gardena,60679
75,Athens-Westmont--(Region:75),Unincorporated-Athens-Westmont,41642
76,Inglewood--(Region:76),Inglewood,116359
77,Culver City--(Region:77),Culver City;Unincorporated-Ladera Heights;Unincorporated-View Park/Windsor Hills,56391
78,Santa Monica--(Region:78),Santa Monica,93410
79,Beverly Hills--(Region:79),Beverly Hills,34652
80,San Pedro--(Region:80),Los Angeles-San Pedro;Unincorporated-La Rambla,79805
81,Wilmington--(Region:81),Los Angeles-Wilmington,57279
82,Harbor City--(Region:82),Los Angeles-Harbor City;Los Angeles-Harbor Pines,31263
83,Harbor Gateway--(Region:83),Los Angeles-Harbor Gateway;Unincorporated-Harbor Gateway,43700
84,"Century
Palms/Cove--(Region:84)",Los Angeles-Century Palms/Cove;Los Angeles-Figueroa Park Square,42829
85,Watts--(Region:85),Los Angeles-Watts,43908
86,Vermont Vista--(Region:86),Los Angeles-Green Meadows;Los Angeles-Vermont Vista,63401
87,Florence-Firestone--(Region:8 7),Los Angeles-Florence-Firestone,48852
88,Vermont Knolls--(Region:88),Los Angeles-Gramercy Place;Los Angeles-Manchester Square;Los Angeles-Vermont Knolls,36831
89,Harvard Park--(Region:89),Los Angeles-Harvard Park,39646
90,Hyde Park--(Region:90),Los Angeles-Hyde Park;Los Angeles-View Heights,32712
91,Westchester--(Region:91),Los Angeles-Westchester,50798
92,Playa Vista--(Region:92),"Los Angeles-Marina Peninsula;Los Angeles-Playa Del Rey;Los
Angeles-Playa Vista;Unincorporated-Del Rey;Unincorporated-Marina del Rey",27092
93,Del Rey--(Region:93),Los Angeles-Del Rey,29258
94,Venice--(Region:94),Los Angeles-Venice,34136
95,Mar Vista--(Region:95),Los Angeles-Mar Vista,41891
96,Palms--(Region:96),Los Angeles-Palms,45160
97,Century City--(Region:97),Los Angeles-Century City;Los Angeles-Cheviot Hills;Los Angeles-Rancho Park,28076
98,Beverlywood--(Region:98),Los Angeles-Beverlywood;Los Angeles-Cadillac-Corning;Los Angeles-Regent Square;Los Angeles-Reynier Village,27910
99,Crestview--(Region:99),Los Angeles-Crestview;Los Angeles-Faircrest Heights;Los Angeles-South Carthay,25678
100,Park La Brea--(Region:100),Los Angeles-Carthay;Los Angeles-Park La Brea;Unincorporated-Miracle Mile,27005
101,Miracle Mile--(Region:101),Los Angeles-Brookside;Los Angeles-Mid-city;Los Angeles-Miracle Mile;Los Angeles-Sycamore Square,34069
102,Cloverdale/Cochran--(Region:1 02),Los Angeles-Cloverdale/Cochran;Los Angeles-Lafayette Square;Los Angeles-Longwood;Los Angeles-St Elmo Village,28768
103,"Crenshaw
District--(Region:103)",Los Angeles-Alsace;Los Angeles-Crenshaw District;Los Angeles-Exposition,29977
104,Baldwin Hills--(Region:104),Los Angeles-Baldwin Hills,29994
105,Leimert Park--(Region:105),Los Angeles-Jefferson Park;Los Angeles-Leimert Park;Los Angeles-Wellington Square,28318
106,West Vernon--(Region:106),Los Angeles-Vermont Square;Los Angeles-West Vernon,61940
107,Exposition Park--(Region:107),Los Angeles-Exposition Park,45190
108,South Park--(Region:108),Los Angeles-South Park,39093
109,Vernon Central--(Region:109),Los Angeles-Vernon Central,54121
110,Central--(Region:110),Los Angeles-Central,39107
111,"Wholesale
District--(Region:111)",Los Angeles-Wholesale District,38191
112,Boyle Heights--(Region:112),Los Angeles-Boyle Heights,87247
113,Lincoln Heights--(Region:113),Los Angeles-Lincoln Heights,33052
114,El Sereno--(Region:114),Los Angeles-El Sereno;Los Angeles-University Hills,45030
115,Highland Park--(Region:115),Los Angeles-Highland Park,48168
116,Eagle Rock--(Region:116),Los Angeles-Eagle Rock,39175
117,Glassell Park--(Region:117),Los Angeles-Glassell Park,31385
118,Mt. Washington--(Region:118),Los Angeles-Elysian Valley;Los Angeles-Mt. Washington,34192
119,Echo Park--(Region:119),Los Angeles-Angelino Heights;Los Angeles-Chinatown;Los Angeles-Echo Park;Los Angeles-Elysian Park,30710
