"location_number","location_label","level","region_number","region_label","date_reported","n_cases"
342,"Manhattan Beach",2,70,"Manhattan Beach","2020-03-27",22
298,"Maywood",2,51,"Maywood","2020-03-27",1
227,"Monrovia",2,15,"Monrovia","2020-03-27",4
263,"Montebello",2,35,"Montebello","2020-03-27",2
261,"Monterey Park",2,33,"Monterey Park","2020-03-27",4
295,"Norwalk",2,49,"Norwalk","2020-03-27",9
193,"Palmdale",2,6,"Palmdale","2020-03-27",4
334,"Palos Verdes Estates",2,67,"Lomita","2020-03-27",12
309,"Paramount",2,58,"Paramount","2020-03-27",5
220,"Pasadena",2,12,"Pasadena","2020-03-27",0
283,"Pico Rivera",2,44,"Pico Rivera","2020-03-27",2
245,"Pomona",2,22,"Pomona","2020-03-27",4
332,"Rancho Palos Verdes",2,66,"Rancho Palos Verdes","2020-03-27",7
340,"Redondo Beach",2,69,"Redondo Beach","2020-03-27",23
335,"Rolling Hills",2,67,"Lomita","2020-03-27",0
336,"Rolling Hills Estates",2,67,"Lomita","2020-03-27",-1
256,"Rosemead",2,29,"Rosemead","2020-03-27",0
238,"San Dimas",2,19,"San Dimas","2020-03-27",1
477,"San Fernando",2,144,"San Fernando","2020-03-27",0
257,"San Gabriel",2,30,"San Gabriel","2020-03-27",5
258,"San Marino",2,31,"South Pasadena","2020-03-27",-1
185,"Santa Clarita",2,3,"Santa Clarita","2020-03-27",24
293,"Santa Fe Springs",2,48,"West Whittier/Los Nietos","2020-03-27",0
357,"Santa Monica",2,78,"Santa Monica","2020-03-27",28
224,"Sierra Madre",2,13,"Altadena","2020-03-27",0
317,"Signal Hill",2,61,"Lakewood","2020-03-27",-1
264,"South El Monte",2,36,"South El Monte","2020-03-27",0
305,"South Gate",2,55,"South Gate","2020-03-27",4
259,"South Pasadena",2,31,"South Pasadena","2020-03-27",3
255,"Temple City",2,28,"Temple City","2020-03-27",0
339,"Torrance",2,68,"Torrance","2020-03-27",21
9999,"Under Investigation",2,9999,"Under Investigation","2020-03-27",143
201,"Unincorporated - Acton",2,8,"Acton","2020-03-27",0
172,"Unincorporated - Agua Dulce",2,1,"Canyon Country","2020-03-27",0
225,"Unincorporated - Altadena",2,13,"Altadena","2020-03-27",9
202,"Unincorporated - Anaverde",2,8,"Acton","2020-03-27",0
203,"Unincorporated - Angeles National Forest",2,8,"Acton","2020-03-27",0
232,"Unincorporated - Arcadia",2,16,"Duarte","2020-03-27",0
324,"Unincorporated - Athens Village",2,64,"Willowbrook","2020-03-27",0
352,"Unincorporated - Athens-Westmont",2,75,"Athens-Westmont","2020-03-27",5
271,"Unincorporated - Avocado Heights",2,37,"Bassett","2020-03-27",0
235,"Unincorporated - Azusa",2,17,"Azusa","2020-03-27",0
299,"Unincorporated - Bandini Islands",2,51,"Maywood","2020-03-27",NA
272,"Unincorporated - Bassett",2,37,"Bassett","2020-03-27",0
173,"Unincorporated - Bouquet Canyon",2,1,"Canyon Country","2020-03-27",0
228,"Unincorporated - Bradbury",2,15,"Monrovia","2020-03-27",0
174,"Unincorporated - Canyon Country",2,1,"Canyon Country","2020-03-27",-1
184,"Unincorporated - Castaic",2,2,"Castaic","2020-03-27",3
314,"Unincorporated - Cerritos",2,60,"Cerritos","2020-03-27",0
247,"Unincorporated - CharterOak",2,23,"Covina","2020-03-27",NA
243,"Unincorporated - Claremont",2,21,"Claremont","2020-03-27",0
248,"Unincorporated - Covina",2,23,"Covina","2020-03-27",-1
249,"Unincorporated - Covina (Charter Oak)",2,23,"Covina","2020-03-27",0
344,"Unincorporated - Del Aire",2,71,"El Segundo","2020-03-27",0
382,"Unincorporated - Del Rey",2,92,"Playa Vista","2020-03-27",0
175,"Unincorporated - Del Sur",2,1,"Canyon Country","2020-03-27",0
204,"Unincorporated - Desert View Highlands",2,8,"Acton","2020-03-27",0
233,"Unincorporated - Duarte",2,16,"Duarte","2020-03-27",0
239,"Unincorporated - East Covina",2,19,"San Dimas","2020-03-27",0
290,"Unincorporated - East La Mirada",2,46,"La Mirada","2020-03-27",0
191,"Unincorporated - East Lancaster",2,5,"Lancaster","2020-03-27",0
262,"Unincorporated - East Los Angeles",2,34,"East Los Angeles","2020-03-27",6
221,"Unincorporated - East Pasadena",2,12,"Pasadena","2020-03-27",0
322,"Unincorporated - East Rancho Dominguez",2,63,"Compton","2020-03-27",0
291,"Unincorporated - East Whittier",2,47,"South Whittier","2020-03-27",-1
350,"Unincorporated - El Camino Village",2,73,"Lawndale","2020-03-27",0
265,"Unincorporated - El Monte",2,36,"South El Monte","2020-03-27",0
176,"Unincorporated - Elizabeth Lake",2,1,"Canyon Country","2020-03-27",0
303,"Unincorporated - Florence-Firestone",2,54,"Florence-Firestone","2020-03-27",0
488,"Unincorporated - Franklin Canyon",2,152,"Brentwood","2020-03-27",NA
237,"Unincorporated - Glendora",2,18,"Glendora","2020-03-27",0
282,"Unincorporated - Hacienda Heights",2,43,"Hacienda Heights","2020-03-27",2
365,"Unincorporated - Harbor Gateway",2,83,"Harbor Gateway","2020-03-27",NA
347,"Unincorporated - Hawthorne",2,72,"Hawthorne","2020-03-27",-1
194,"Unincorporated - Hi Vista",2,7,"Lake Los Angeles","2020-03-27",0
205,"Unincorporated - Kagel/Lopez Canyons",2,8,"Acton","2020-03-27",0
219,"Unincorporated - La Crescenta-Montrose",2,11,"La CanadaFlintridge","2020-03-27",0
285,"Unincorporated - La Habra Heights",2,45,"Whittier","2020-03-27",-1
360,"Unincorporated - La Rambla",2,80,"San Pedro","2020-03-27",-1
241,"Unincorporated - La Verne",2,20,"La Verne","2020-03-27",-1
355,"Unincorporated - Ladera Heights",2,77,"Culver City","2020-03-27",0
177,"Unincorporated - Lake Hughes",2,1,"Canyon Country","2020-03-27",0
195,"Unincorporated - Lake Los Angeles",2,7,"Lake Los Angeles","2020-03-27",0
501,"Unincorporated - Lake Manor",2,161,"West Hills","2020-03-27",0
318,"Unincorporated - Lakewood",2,61,"Lakewood","2020-03-27",0
348,"Unincorporated - Lennox",2,72,"Hawthorne","2020-03-27",-1
178,"Unincorporated - Leona Valley",2,1,"Canyon Country","2020-03-27",0
206,"Unincorporated - Littlerock",2,8,"Acton","2020-03-27",0
207,"Unincorporated - Littlerock/Juniper Hills",2,8,"Acton","2020-03-27",0
